,cnt,MLE
like,290,-10.007287415065777
Miss,730,-8.678435162021625
Woodhouse,244,-10.255524818971491
seem,60,-12.261425420411175
just,241,-10.273299520699467
obliging,37,-12.944235244530477
went,91,-11.66860080191705
music,41,-12.799845335195302
eye,59,-12.285272162365544
rested,3,-16.19216275797406
procured,8,-15.02223775653175
Willoughby,170,-10.774310243088165
containing,8,-15.02223775653175
favourite,49,-12.548306568199337
bearing,6,-15.384807835916458
outward,9,-14.8702346630867
own,589,-8.987591613724858
name,114,-11.346672707029686
hand,93,-11.637573906296424
writing,33,-13.104699916723723
That,114,-11.346672707029686
shook,11,-14.607200257252906
head,89,-11.700309661644388
put,117,-11.309519708612221
aside,8,-15.02223775653175
running,10,-14.732731139336765
over,256,-10.186538208780183
keys,2,-16.607200257252906
minute,29,-13.285272162365544
complained,4,-15.8702346630867
feebleness,4,-15.8702346630867
closed,18,-13.944235244530477
instrument,29,-13.285272162365544
declaring,5,-15.607200257252906
firmness,6,-15.384807835916458
future,47,-12.607200257252906
practice,10,-14.732731139336765
yet,183,-10.66860080191705
seen,147,-10.982709392345113
man,379,-9.622307149643113
cared,13,-14.384807835916458
understood,45,-12.66860080191705
weak,9,-14.8702346630867
irresolute,5,-15.607200257252906
characters,7,-15.192162757974062
whose,83,-11.799845335195302
happiness,135,-11.104699916723723
mercy,4,-15.8702346630867
chance,40,-12.834610753355978
suffer,28,-13.33418176284649
unfortunate,23,-13.607200257252906
acquaintance,152,-10.93477491528141
inconvenience,22,-13.66860080191705
oppression,5,-15.607200257252906
information,35,-13.02223775653175
beyond,94,-11.622307149643113
line,21,-13.732731139336765
business,89,-11.700309661644388
memory,17,-14.02223775653175
bring,53,-12.437275255810594
fifty,15,-14.192162757974062
quotations,2,-16.607200257252906
moment,226,-10.365614270683146
argument,7,-15.192162757974062
think,581,-9.007287415065777
opened,29,-13.285272162365544
book,21,-13.732731139336765
life,144,-11.012253667959127
something,190,-10.614733929938312
say,462,-9.337294374713826
inconstancy,6,-15.384807835916458
Perhaps,42,-12.765898003271964
Fanny,42,-12.765898003271964
mother,289,-10.012253667959127
rude,9,-14.8702346630867
colouring,4,-15.8702346630867
little,545,-9.09940561705421
immediately,140,-11.052611405575268
lodgings,11,-14.607200257252906
beneath,7,-15.192162757974062
farthest,4,-15.8702346630867
hill,15,-14.192162757974062
rises,2,-16.607200257252906
grandeur,6,-15.384807835916458
looked,158,-10.879279802689707
completely,45,-12.66860080191705
astonished,18,-13.944235244530477
pleased,79,-11.8702346630867
eyes,109,-11.410803044449402
brightened,3,-16.19216275797406
allowed,60,-12.261425420411175
talk,99,-11.548306568199337
arranged,21,-13.732731139336765
glasses,2,-16.607200257252906
wrapped,2,-16.607200257252906
up,308,-9.920699730069687
opening,21,-13.732731139336765
lips,10,-14.732731139336765
too,457,-9.352958969877118
deeply,18,-13.944235244530477
afflicted,3,-16.19216275797406
struggle,12,-14.49172303983297
exert,13,-14.384807835916458
Perry,55,-12.384807835916458
carriage,113,-11.35927274380932
What,153,-10.92537621727916
Ferrars,102,-11.505662230790843
views,25,-13.49172303983297
present,206,-10.498675800474736
Edward,213,-10.450695771572915
cross,13,-14.384807835916458
between,151,-10.944235244530477
convinced,64,-12.169794944945608
likeness,20,-13.799845335195302
except,47,-12.607200257252906
brought,114,-11.346672707029686
country,75,-11.944235244530477
habit,24,-13.548306568199337
almost,186,-10.645268298086425
saw,224,-10.378381566757025
intent,4,-15.8702346630867
agreeable,88,-11.716429327007663
Elton,304,-9.939497325523813
sure,337,-9.791283321691878
happy,230,-10.340413716558004
time,540,-9.112677974147246
till,191,-10.607200257252906
confined,19,-13.8702346630867
Dashwood,196,-10.570110938517686
public,27,-13.384807835916458
selfish,21,-13.732731139336765
sagacity,2,-16.607200257252906
latter,27,-13.384807835916458
drawn,24,-13.548306568199337
Robert,54,-12.410803044449402
scrape,3,-16.19216275797406
principal,15,-14.192162757974062
deliverance,3,-16.19216275797406
respectful,3,-16.19216275797406
humility,2,-16.607200257252906
assiduous,3,-16.19216275797406
attentions,33,-13.104699916723723
endless,2,-16.607200257252906
flatteries,2,-16.607200257252906
smallest,43,-12.732731139336765
exercise,18,-13.944235244530477
reconciled,11,-14.607200257252906
choice,22,-13.66860080191705
re,15,-14.192162757974062
established,16,-14.104699916723723
favour,57,-12.33418176284649
poor,162,-10.843434603742985
widow,15,-14.192162757974062
barely,6,-15.384807835916458
able,118,-11.297344994666119
thirty,28,-13.33418176284649
mere,29,-13.285272162365544
Smith,134,-11.11534716092323
names,13,-14.384807835916458
world,165,-10.817123326627136
chosen,14,-14.285272162365544
friend,256,-10.186538208780183
preferred,14,-14.285272162365544
connections,6,-15.384807835916458
among,89,-11.700309661644388
nobility,4,-15.8702346630867
England,18,-13.944235244530477
Ireland,12,-14.49172303983297
Lucy,158,-10.879279802689707
saying,87,-11.732731139336765
lower,8,-15.02223775653175
tone,46,-12.637573906296424
Marianne,447,-9.384807835916458
giving,77,-11.906760539111813
powerful,9,-14.8702346630867
protection,4,-15.8702346630867
magnificent,4,-15.8702346630867
cried,181,-10.684368117775366
stepping,6,-15.384807835916458
forward,69,-12.062879741029095
suspicion,31,-13.192162757974062
arose,15,-14.192162757974062
why,63,-12.192162757974062
feelings,205,-10.505662230790843
tried,42,-12.765898003271964
Everything,5,-15.607200257252906
marked,11,-14.607200257252906
Louisa,88,-11.716429327007663
Wentworth,175,-10.732731139336765
where,146,-10.992490413137697
divisions,3,-16.19216275797406
even,252,-10.209169183279752
nearly,29,-13.285272162365544
encouragement,28,-13.33418176284649
dismissed,5,-15.607200257252906
occasion,53,-12.437275255810594
brother,134,-11.11534716092323
ready,96,-11.592249915786935
enter,22,-13.66860080191705
five,72,-12.002338199094044
minutes,97,-11.577452913858854
stopped,25,-13.49172303983297
door,94,-11.622307149643113
punctuality,2,-16.607200257252906
preceded,3,-16.19216275797406
hoping,10,-14.732731139336765
delay,30,-13.237966447587187
either,105,-11.464242303410863
coachman,5,-15.607200257252906
knew,178,-10.708346980709806
manners,94,-11.622307149643113
required,34,-13.062879741029095
intimacy,30,-13.237966447587187
pleasing,33,-13.104699916723723
This,170,-10.774310243088165
unaccountable,7,-15.192162757974062
alert,3,-16.19216275797406
engaging,12,-14.49172303983297
Jane,247,-10.237966447587187
Fairfax,194,-10.584832444224451
augur,3,-16.19216275797406
assured,36,-12.982709392345113
objects,16,-14.104699916723723
interest,104,-11.477917240307939
truth,59,-12.285272162365544
inferiority,8,-15.02223775653175
want,124,-11.226378473311975
evil,49,-12.548306568199337
avoided,13,-14.384807835916458
marrying,37,-12.944235244530477
children,100,-11.533951275222266
care,89,-11.700309661644388
NOT,11,-14.607200257252906
write,35,-13.02223775653175
replied,163,-10.834610753355978
wishing,32,-13.147768638615608
avoid,35,-13.02223775653175
farther,88,-11.716429327007663
inquiry,28,-13.33418176284649
distressed,16,-14.104699916723723
staying,42,-12.765898003271964
friends,129,-11.169794944945608
Plymouth,9,-14.8702346630867
thinks,31,-13.192162757974062
fond,58,-12.309519708612221
difficulty,40,-12.834610753355978
sitting,55,-12.384807835916458
carpet,4,-15.8702346630867
work,40,-12.834610753355978
suspecting,10,-14.732731139336765
match,52,-12.464242303410863
Lord,32,-13.147768638615608
daughter,111,-11.384807835916458
forget,34,-13.062879741029095
difference,53,-12.437275255810594
makes,27,-13.384807835916458
goings,2,-16.607200257252906
wanted,112,-11.371983795558874
nurse,16,-14.104699916723723
cold,68,-12.083638301195892
promise,39,-12.8702346630867
danger,51,-12.49172303983297
catching,9,-14.8702346630867
sore,10,-14.732731139336765
throat,12,-14.49172303983297
tired,28,-13.33418176284649
playing,10,-14.732731139336765
proceed,20,-13.799845335195302
invitation,51,-12.49172303983297
accepted,15,-14.192162757974062
appointment,7,-15.192162757974062
drew,30,-13.237966447587187
common,74,-11.96334406747818
civility,28,-13.33418176284649
Jennings,166,-10.80845846550001
both,166,-10.80845846550001
persuading,9,-14.8702346630867
indisposed,6,-15.384807835916458
amusement,33,-13.104699916723723
abroad,18,-13.944235244530477
unwilling,20,-13.799845335195302
run,24,-13.548306568199337
risk,16,-14.104699916723723
calling,34,-13.062879741029095
absence,29,-13.285272162365544
Will,18,-13.944235244530477
Has,13,-14.384807835916458
inconsistency,4,-15.8702346630867
create,3,-16.19216275797406
alarm,36,-12.982709392345113
spirited,5,-15.607200257252906
beginning,65,-12.147768638615608
winter,24,-13.548306568199337
engagements,24,-13.548306568199337
sir,60,-12.261425420411175
desired,15,-14.192162757974062
prose,5,-15.607200257252906
dear,285,-10.032291421195673
reply,30,-13.237966447587187
else,128,-11.180935502550808
pretty,100,-11.533951275222266
tempered,11,-14.607200257252906
wiser,8,-15.02223775653175
accept,20,-13.799845335195302
society,71,-12.02223775653175
ladies,71,-12.02223775653175
Laura,6,-15.384807835916458
Place,29,-13.285272162365544
enjoy,21,-13.732731139336765
connexion,24,-13.548306568199337
far,127,-11.192162757974062
possible,142,-11.032291421195673
late,53,-12.437275255810594
met,71,-12.02223775653175
walking,62,-12.214882834474146
Harriet,409,-9.512682658468616
When,89,-11.700309661644388
particulars,29,-13.285272162365544
conversation,83,-11.799845335195302
repeated,40,-12.834610753355978
effect,40,-12.834610753355978
entirely,81,-11.834610753355978
former,54,-12.410803044449402
hoped,64,-12.169794944945608
see,426,-9.454070498353571
rejected,6,-15.384807835916458
spirit,48,-12.577452913858854
bless,7,-15.192162757974062
past,57,-12.33418176284649
debt,3,-16.19216275797406
gratitude,50,-12.519737416002567
owing,3,-16.19216275797406
here,186,-10.645268298086425
intercourse,13,-14.384807835916458
seven,23,-13.607200257252906
years,136,-11.094130675013535
footing,5,-15.607200257252906
perfect,46,-12.637573906296424
unreserve,8,-15.02223775653175
followed,49,-12.548306568199337
Isabella,61,-12.237966447587187
marriage,80,-11.852312755089438
each,117,-11.309519708612221
dearer,7,-15.192162757974062
recollection,28,-13.33418176284649
sometimes,60,-12.261425420411175
fancied,26,-13.437275255810594
discerned,4,-15.8702346630867
distance,37,-12.944235244530477
ten,55,-12.384807835916458
awkwardness,9,-14.8702346630867
emotion,24,-13.548306568199337
stormy,2,-16.607200257252906
Poor,54,-12.410803044449402
bilious,3,-16.19216275797406
take,168,-10.791283321691878
tells,14,-14.285272162365544
sad,28,-13.33418176284649
round,68,-12.083638301195892
marry,101,-11.519737416002567
perseverance,8,-15.02223775653175
conduct,66,-12.12607356751629
messages,2,-16.607200257252906
self,57,-12.33418176284649
condemnation,2,-16.607200257252906
offence,18,-13.944235244530477
unkindness,5,-15.607200257252906
treated,21,-13.732731139336765
notice,54,-12.410803044449402
overcame,6,-15.384807835916458
graciousness,5,-15.607200257252906
led,40,-12.834610753355978
rapid,12,-14.49172303983297
degrees,6,-15.384807835916458
highest,22,-13.66860080191705
state,92,-11.653003946866031
affection,101,-11.519737416002567
influence,46,-12.637573906296424
remained,47,-12.607200257252906
vexation,11,-14.607200257252906
causes,4,-15.8702346630867
flattered,10,-14.732731139336765
commendation,9,-14.8702346630867
nerves,12,-14.49172303983297
under,121,-11.261425420411175
continual,18,-13.944235244530477
irritation,7,-15.192162757974062
suffering,40,-12.834610753355978
nephew,12,-14.49172303983297
communicated,14,-14.285272162365544
change,98,-11.562806137894452
plan,54,-12.410803044449402
Nobody,22,-13.66860080191705
early,65,-12.147768638615608
Musgrove,107,-11.437275255810594
happening,8,-15.02223775653175
pulse,6,-15.384807835916458
stronger,20,-13.799845335195302
symptom,5,-15.607200257252906
favourable,22,-13.66860080191705
preceding,9,-14.8702346630867
For,53,-12.437275255810594
sake,51,-12.49172303983297
hope,226,-10.365614270683146
turn,51,-12.49172303983297
right,139,-11.062879741029095
positively,11,-14.607200257252906
civil,24,-13.548306568199337
effort,11,-14.607200257252906
especially,45,-12.66860080191705
amongst,8,-15.02223775653175
others,130,-11.158739756436612
overpowering,4,-15.8702346630867
period,31,-13.192162757974062
nonsense,16,-14.104699916723723
particularly,82,-11.817123326627136
wished,99,-11.548306568199337
listen,28,-13.33418176284649
cost,7,-15.192162757974062
encounter,8,-15.02223775653175
thrown,24,-13.548306568199337
company,73,-11.982709392345113
imperfect,3,-16.19216275797406
knowledge,61,-12.237966447587187
matter,81,-11.834610753355978
add,20,-13.799845335195302
shade,8,-15.02223775653175
prejudice,6,-15.384807835916458
against,106,-11.450695771572915
useful,27,-13.384807835916458
irritated,5,-15.607200257252906
talking,78,-11.88838200979696
air,70,-12.04241563846938
congratulating,2,-16.607200257252906
greater,66,-12.12607356751629
new,70,-12.04241563846938
disposed,46,-12.637573906296424
judging,13,-14.384807835916458
following,29,-13.285272162365544
lead,18,-13.944235244530477
Bates,115,-11.33418176284649
taking,57,-12.33418176284649
granted,6,-15.384807835916458
bride,13,-14.384807835916458
clever,30,-13.237966447587187
professed,9,-14.8702346630867
satisfied,71,-12.02223775653175
praise,46,-12.637573906296424
passed,113,-11.35927274380932
mouth,6,-15.384807835916458
readily,19,-13.8702346630867
continued,86,-11.749219262125333
contribution,2,-16.607200257252906
talked,104,-11.477917240307939
grace,12,-14.49172303983297
pleasant,52,-12.464242303410863
elegantly,3,-16.19216275797406
dressed,11,-14.607200257252906
Ah,56,-12.35927274380932
Taylor,36,-12.982709392345113
grievous,2,-16.607200257252906
Bless,8,-15.02223775653175
Suppose,2,-16.607200257252906
seized,7,-15.192162757974062
sudden,34,-13.062879741029095
way,255,-10.192162757974062
ring,8,-15.02223775653175
bell,6,-15.384807835916458
To,110,-11.397746891623957
leisure,24,-13.548306568199337
claims,37,-12.944235244530477
involuntary,3,-16.19216275797406
mind,252,-10.209169183279752
ill,130,-11.158739756436612
shocked,14,-14.285272162365544
stir,11,-14.607200257252906
Depend,11,-14.607200257252906
likely,79,-11.8702346630867
happen,29,-13.285272162365544
Donwell,40,-12.834610753355978
servants,21,-13.732731139336765
often,141,-11.04241563846938
extremely,78,-11.88838200979696
awkward,15,-14.192162757974062
remiss,4,-15.8702346630867
creature,50,-12.519737416002567
Harry,6,-15.384807835916458
stand,31,-13.192162757974062
consideration,29,-13.285272162365544
respect,67,-12.104699916723723
recently,4,-15.8702346630867
lost,46,-12.637573906296424
admitted,24,-13.548306568199337
due,39,-12.8702346630867
decorum,4,-15.8702346630867
obstinate,3,-16.19216275797406
silent,57,-12.33418176284649
Mary,117,-11.309519708612221
removed,26,-13.437275255810594
difficulties,39,-12.8702346630867
consequently,10,-14.732731139336765
Bath,103,-11.49172303983297
took,90,-11.684368117775366
divided,15,-14.192162757974062
Cottage,17,-14.02223775653175
Lodge,4,-15.8702346630867
means,88,-11.716429327007663
disrespectfully,3,-16.19216275797406
relation,18,-13.944235244530477
yours,27,-13.384807835916458
madam,16,-14.104699916723723
hedges,2,-16.607200257252906
elder,8,-15.02223775653175
least,146,-10.992490413137697
coming,126,-11.203478071201896
turned,59,-12.285272162365544
look,188,-10.62992033375299
spring,24,-13.548306568199337
tender,28,-13.33418176284649
smile,62,-12.214882834474146
meaning,56,-12.35927274380932
stood,29,-13.285272162365544
sensations,16,-14.104699916723723
pain,62,-12.214882834474146
once,160,-10.861245879859444
severe,29,-13.285272162365544
softened,14,-14.285272162365544
instances,4,-15.8702346630867
relenting,2,-16.607200257252906
feeling,101,-11.519737416002567
friendship,45,-12.66860080191705
reconciliation,9,-14.8702346630867
cease,12,-14.49172303983297
No,208,-10.484803625893178
doubts,14,-14.285272162365544
lately,32,-13.147768638615608
married,99,-11.548306568199337
youngest,11,-14.607200257252906
Steele,34,-13.062879741029095
three,131,-11.147768638615608
ago,49,-12.548306568199337
reached,41,-12.799845335195302
year,95,-11.607200257252906
school,25,-13.49172303983297
respectable,25,-13.49172303983297
residing,4,-15.8702346630867
Dorsetshire,7,-15.192162757974062
charge,25,-13.49172303983297
four,72,-12.002338199094044
girls,27,-13.384807835916458
situation,107,-11.437275255810594
sorry,94,-11.622307149643113
acknowledge,26,-13.437275255810594
transcribed,2,-16.607200257252906
pages,3,-16.19216275797406
already,94,-11.622307149643113
friendly,28,-13.33418176284649
hospitable,5,-15.607200257252906
educated,4,-15.8702346630867
elegant,33,-13.104699916723723
Ever,4,-15.8702346630867
since,139,-11.062879741029095
hard,27,-13.384807835916458
Each,3,-16.19216275797406
previously,15,-14.192162757974062
agreement,5,-15.607200257252906
regard,90,-11.684368117775366
gentlemen,37,-12.944235244530477
hearty,5,-15.607200257252906
humour,32,-13.147768638615608
open,78,-11.88838200979696
trusting,5,-15.607200257252906
liberality,11,-14.607200257252906
Admiral,55,-12.384807835916458
best,124,-11.226378473311975
polished,3,-16.19216275797406
behaviour,76,-11.92537621727916
Shepherd,26,-13.437275255810594
assurances,15,-14.192162757974062
known,126,-11.203478071201896
